Generating an artificial network
Generating 10 inlets
Starting the simulation with a timestep of 0.001s for 12 times with 4 jobs.
         1055133 function calls (1031970 primitive calls) in 68.918 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90821    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    56903    0.013    0.000    0.014    0.000 {built-in method builtins.isinstance}
56871/55491    0.008    0.000    0.009    0.000 {built-in method builtins.len}
    55189    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
    28761    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
26590/26582    0.010    0.000    0.013    0.000 {method 'join' of 'str' objects}
    26532    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
20438/20258    0.012    0.000    0.019    0.000 {built-in method builtins.hasattr}
    19081    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    18919    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    16692    0.006    0.000    0.006    0.000 {built-in method builtins.min}
    16445    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
    14604    0.006    0.000    0.014    0.000 sre_parse.py:254(get)
    13229    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    12969    0.005    0.000    0.005    0.000 {method 'rpartition' of 'str' objects}
    12703    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    12703    0.012    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    10703    0.003    0.000    0.005    0.000 mathtext.py:2757(<genexpr>)
    10616    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
    10616    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     9209    0.004    0.000    0.005    0.000 {built-in method builtins.setattr}
     8782    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
     8292    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     8152    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
     7970    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
     7679    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
     7543    0.001    0.000    0.001    0.000 inspect.py:2517(name)
     7211    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     7166    0.057    0.000    0.057    0.000 {built-in method posix.stat}
     6088    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     6082    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     6042    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     6034    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
5869/2470    0.005    0.000    0.707    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     5722    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     5653    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:855(__enter__)
     5653    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:859(__exit__)
     5491    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4647    0.002    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
     4147    0.001    0.000    0.001    0.000 inspect.py:2521(default)
     4008    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     3969    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     3892    0.003    0.000    0.010    0.000 enum.py:284(__call__)
     3878    0.002    0.000    0.002    0.000 enum.py:526(__new__)
3795/3794    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x8004f2fe0}
     3740    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     3714    0.002    0.000    0.002    0.000 {built-in method from_bytes}
     3714    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     3698    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     3683    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3615    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     3604    0.001    0.000    0.002    0.000 inspect.py:158(isfunction)
     3599    0.004    0.000    0.011    0.000 {built-in method builtins.any}
     3547    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     3500    0.006    0.000    0.012    0.000 inspect.py:2467(__init__)
     3266    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
     3213    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     3037    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     3032    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:78(acquire)
     3032    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
     3032    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
2954/2946    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
2746/2661    0.047    0.000    0.168    0.000 {built-in method builtins.__build_class__}
     2729    0.004    0.000    0.084    0.000 re.py:271(_compile)
     2720    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2664    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:403(cached)
     2662    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2645    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
     2626    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     2625    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
     2619    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     2476    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2476    0.009    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2366    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     2303    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2296    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
     2280    0.001    0.000    0.002    0.000 pickle.py:225(write)
     2231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     2231    0.022    0.000    0.108    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     2132    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
  2080/12    0.001    0.000    1.345    0.112 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2057    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
   2027/1    0.024    0.000   68.920   68.920 {built-in method builtins.exec}
     1970    0.024    0.000    0.024    0.000 {method 'sub' of 're.Pattern' objects}
     1865    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1865    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1865    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:151(__exit__)
  1865/11    0.009    0.000    1.351    0.123 <frozen importlib._bootstrap>:978(_find_and_load)
  1861/11    0.007    0.000    1.351    0.123 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1855    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
     1855    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
     1850    0.002    0.000    0.003    0.000 version.py:114(_parse_version_parts)
     1776    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     1764    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
     1759    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1696    0.002    0.000    0.003    0.000 typing.py:706(__setattr__)
     1696    0.001    0.000    0.001    0.000 typing.py:592(_is_dunder)
     1664    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1664    0.013    0.000    0.163    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1660    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
1660/1659    0.005    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1659    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1659    0.001    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1630    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1612    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1608    0.001    0.000    0.001    0.000 artist.py:1184(is_alias)
     1602    0.006    0.000    0.009    0.000 inspect.py:2750(__init__)
     1598    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
1571/1309    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1568    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
1560/1212    0.006    0.000    0.045    0.000 inspect.py:2198(_signature_from_callable)
     1527    0.001    0.000    0.005    0.000 re.py:170(match)
     1490    0.002    0.000    0.016    0.000 __init__.py:896(__setitem__)
     1472    0.001    0.000    0.003    0.000 colors.py:107(_is_nth_color)
  1444/13    0.007    0.000    1.348    0.104 <frozen importlib._bootstrap>:663(_load_unlocked)
     1431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
     1431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1431    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1431    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
     1431    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1431    0.003    0.000    0.082    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
 1430/406    0.003    0.000    0.005    0.000 sre_parse.py:174(getwidth)
     1426    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1426    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1426    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1341    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1755(<genexpr>)
     1336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
     1272    0.001    0.000    0.001    0.000 version.py:65(_compare)
     1264    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BytesIO' objects}
     1260    0.001    0.000    0.001    0.000 colors.py:228(<genexpr>)
     1256    0.001    0.000    0.001    0.000 pickle.py:201(commit_frame)
   1248/8    0.003    0.000    0.017    0.002 pickle.py:485(save)
     1248    0.000    0.000    0.000    0.000 pickle.py:551(persistent_id)
     1245    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
     1238    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1238    0.133    0.000    0.133    0.000 {built-in method marshal.loads}
     1238    0.018    0.000    0.018    0.000 {method 'read' of '_io.FileIO' objects}
     1238    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1238    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1238    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1238    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1238    0.003    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
  1238/13    0.003    0.000    1.348    0.104 <frozen importlib._bootstrap_external>:722(exec_module)
     1238    0.010    0.000    0.217    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1238    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     1238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
     1238    0.019    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1238    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     1237    0.004    0.000    0.006    0.000 posixpath.py:75(join)
 1215/175    0.007    0.000    0.019    0.000 sre_compile.py:71(_compile)
     1212    0.011    0.000    0.032    0.000 inspect.py:2117(_signature_from_function)
     1208    0.000    0.000    0.000    0.000 decorator.py:214(<genexpr>)
 1177/959    0.001    0.000    0.001    0.000 typing.py:666(__hash__)
     1167    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1119    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     1084    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
     1070    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1064    0.001    0.000    0.002    0.000 __init__.py:2069(dist_factory)
     1050    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1034    0.001    0.000    0.028    0.000 {method 'extend' of 'list' objects}
     1016    0.001    0.000    0.008    0.000 colors.py:142(to_rgba)
      962    0.001    0.000    0.011    0.000 re.py:185(sub)
      958    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      949    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      904    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      882    0.002    0.000    0.008    0.000 copy.py:66(copy)
      881    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      881    0.001    0.000    0.003    0.000 copy.py:269(_reconstruct)
      876    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      871    0.018    0.000    0.018    0.000 {method 'findall' of 're.Pattern' objects}
      871    0.005    0.000    0.053    0.000 textwrap.py:414(dedent)
  852/166    0.002    0.000    0.914    0.006 {built-in method builtins.__import__}
      830    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
      829    0.004    0.000    0.011    0.000 version.py:198(__init__)
      819    0.001    0.000    0.008    0.000 genericpath.py:16(exists)
      818    0.006    0.000    0.034    0.000 inspect.py:1089(getfullargspec)
      818    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
      815    0.002    0.000    0.003    0.000 posixpath.py:154(dirname)
      808    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      790    0.010    0.000    0.011    0.000 {built-in method io.open}
      788    0.000    0.000    0.000    0.000 __init__.py:2094(__bool__)
      788    0.002    0.000    0.003    0.000 pickle.py:441(memoize)
      788    0.000    0.000    0.000    0.000 pickle.py:464(put)
      772    0.001    0.000    0.017    0.000 {built-in method builtins.next}
  723/189    0.016    0.000    0.049    0.000 sre_parse.py:469(_parse)
      709    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
      696    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      689    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      688    0.003    0.000    0.005    0.000 functools.py:37(update_wrapper)
      675    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      674    0.000    0.000    0.001    0.000 os.py:754(encode)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      668    0.002    0.000    0.002    0.000 os.py:676(__getitem__)
      662    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      652    0.000    0.000    0.000    0.000 typing.py:615(<genexpr>)
